Especies,Conteo,Localidad,Tipo de Observacion,Fecha de la Observacion,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA (Km),AREA CUBIERTA,ELEVACION:,Numero de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles,Detalles,Coordenadas
Blackburnian Warbler (Setophaga fusca),3,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Yellow Warbler (Setophaga petechia),2,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Canada Warbler (Cardellina canadensis),2,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Rufous-browed Conebill (Conirostrum rufum),3,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Black Flowerpiercer (Diglossa humeralis),3,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Band-tailed Seedeater (Catamenia analis),3,Humedal Tingua Bogotana,Con Desplazamiento,2023-11-04,9:08:00 a. m.,"2 hora(s), 43 minuto(s)",1.23 ,,,2,TRUE,24 especies (+1 otros taxones),,,"(4.981, -74.002)"
Andean Guan (Penelope montagnii),2,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Green-tailed Trainbearer (Lesbia nuna),2,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Black Vulture (Coragyps atratus),3,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Spectacled Parrotlet (Forpus conspicillatus),5,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Silvery-throated Spinetail (Synallaxis subpudica),2,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
White-throated Tyrannulet (Mecocerculus leucophrys),2,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Mountain Elaenia (Elaenia frantzii),1,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Brown-bellied Swallow (Orochelidon murina),40,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Barn Swallow (Hirundo rustica),1,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,Se observa un individuo asociado a una banda de orochelidon murina,,"(4.944, -74.03)"
Great Thrush (Turdus fuscater),3,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Gray-browed Brushfinch (Arremon assimilis),2,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Pale-naped Brushfinch (Atlapetes pallidinucha),2,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Yellow-backed Oriole (Icterus chrysater),3,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Black-crested Warbler (Myiothlypis nigrocristata),2,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Summer Tanager (Piranga rubra),1,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Black-backed Grosbeak (Pheucticus aureoventris),1,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Superciliaried Hemispingus (Thlypopsis superciliaris),1,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Scarlet-bellied Mountain Tanager (Anisognathus igniventris),2,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Rufous-browed Conebill (Conirostrum rufum),2,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Black Flowerpiercer (Diglossa humeralis),2,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Masked Flowerpiercer (Diglossa cyanea),1,La Cumbre - La Virgen,Con Desplazamiento,2023-11-29,1:46:00 p. m.,37 minuto(s),0.54 ,,,2,TRUE,21 especies,,,"(4.944, -74.03)"
Eared Dove (Zenaida auriculata),2,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,"(4.925, -74.05)"
Sparkling Violetear (Colibri coruscans),1,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Green-tailed Trainbearer (Lesbia nuna),1,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Western Cattle Egret (Bubulcus ibis),4,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Black Vulture (Coragyps atratus),2,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Spectacled Parrotlet (Forpus conspicillatus),4,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Silvery-throated Spinetail (Synallaxis subpudica),1,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Tropical Kingbird (Tyrannus melancholicus),2,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Red-eyed Vireo (Vireo olivaceus),1,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Brown-bellied Swallow (Orochelidon murina),15,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
House Wren (Troglodytes aedon),1,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Great Thrush (Turdus fuscater),2,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Lesser Goldfinch (Spinus psaltria),2,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Andean Siskin (Spinus spinescens),6,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
American Redstart (Setophaga ruticilla),1,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
Summer Tanager (Piranga rubra),1,Rio Frio,Con Desplazamiento,2023-11-29,12:30:00 p. m.,50 minuto(s),01.04,,,2,TRUE,16 especies,,,
